"net","mod","num","nnodes","nedges","edensity","aplength","mdegree","diameter","clusteringC","cb","cd"
"CS","CSR",19,579,1251,0.00747619986732883,19.2619513558848,4.32124352331606,49,0.583805984744768,0.207605962842487,0.0115549420011833
"CS","CSR",20,576,1290,0.00778985507246377,19.3208402097595,4.47916666666667,56,0.573405746320953,0.24886792269569,0.0113405797101449
"CS","CSR",21,590,1378,0.00793070703001353,18.8693091243144,4.67118644067797,56,0.594383775351014,0.172578626430409,0.0107450145319559
"CS","CSR",22,666,1712,0.00773103930998668,17.8504317407132,5.14114114114114,40,0.583576396679381,0.22489669934158,0.0118178328704644
"CS","CSR",23,604,1418,0.00778667369553996,18.4211958920637,4.6953642384106,46,0.623548434514185,0.159367090340634,0.0154305734023042
"CS","CSR",24,608,1402,0.00759776294112547,20.1496844374594,4.61184210526316,50,0.59484404837683,0.219670948173983,0.00887670163877569
"CS","CSR",25,591,1330,0.00762855258252316,19.9441911328588,4.50084602368866,56,0.602744367270879,0.229682515396248,0.0127104304683243
"CS","CSR",26,563,1210,0.00764840110490952,11.5688579244315,4.29840142095915,38,0.62595562185344,0.0360120379887525,0.0154832714929553
"CS","CSR",27,563,1249,0.00789491981820825,18.9629289901114,4.43694493783304,46,0.565467625899281,0.251674527561283,0.0134573933490515
"CS","CSR",28,604,1358,0.00745719525990357,16.908555850692,4.49668874172185,48,0.587227673374356,0.163249653307176,0.0141016770452374
"CS","CSR",29,608,1477,0.00800420532385329,25.0536116985557,4.85855263157895,62,0.630334329980973,0.200154231393328,0.0167074915459984
"CS","CSR",30,595,1359,0.00769034886681945,29.3896979808834,4.56806722689076,78,0.600581207620278,0.351252564214107,0.0141951730187024
"CS","CSR",31,580,1268,0.00755166458221666,21.8538929762346,4.37241379310345,58,0.582954545454546,0.246042249686016,0.00971949258531356
"CS","CSR",32,602,1431,0.0079104040331452,21.1912863422254,4.75415282392027,60,0.599193909538737,0.204166867385934,0.0120563180966385
"CS","CSR",33,591,1356,0.00777768218188075,12.1050139875188,4.58883248730965,38,0.591820368885325,0.0437774813454948,0.00917147036049213
