"Source","Target","weight"
72,507,0.60013
73,74,5.75075
74,73,10.22903
75,33,0.20306
75,76,6.42408
75,77,5.65139
75,78,3.72838
75,79,1.90519
76,75,6.48934
76,77,7.51472
76,78,3.94207
76,79,3.4631
77,75,4.9088
77,76,6.46165
77,78,3.54422
77,79,4.00718
78,75,8.07847
78,76,8.45559
78,77,8.84116
78,79,2.78641
79,75,3.84745
79,76,6.92326
79,77,9.31652
79,78,2.59699
80,81,6.53666
80,82,9.42346
80,94,0.93148
80,95,0.66751
80,96,0.27116
80,97,0.82875
80,98,0.23957
80,107,5.07295
80,108,0.59097
81,80,4.48314
81,82,8.6575
81,107,3.785
82,80,4.76656
82,81,6.385
82,94,0.85251
82,95,0.78179
82,96,0.4813
82,97,0.68071
82,98,0.48957
82,107,3.57644
82,108,0.32914
83,84,0.0015
83,85,6.05618
83,559,2.66479
83,560,2.15006
83,561,2.67412
83,562,4.2613
83,563,1.69824
84,83,0.00122
84,85,4.98849
85,83,1.92487
85,84,1.95513
85,559,0.5269
85,560,0.4964
85,561,1.40042
85,562,1.17567
86,500,0.15124
86,501,1.66856
87,88,2.87885
87,369,2.91412
88,87,4.00729
88,369,3.08371
91,110,0.85467
91,112,0.04459
91,114,0.30493
91,387,1.60398
91,389,1.06534
91,390,1.51203
92,234,1.88067
92,235,1.97514
92,236,0.56228
92,237,1.38874
93,315,0.90558
93,316,1.27801
93,317,1.47049
93,372,4.69032
93,373,4.21688
94,80,0.79569
94,82,1.4397
94,95,4.01152
94,96,3.27712
94,97,7.883
94,98,7.27602
94,107,2.06147
94,108,2.08339
94,205,1.1464
95,80,0.90097
95,82,2.08616
95,94,6.33864
95,96,4.82991
95,97,6.34788
95,98,7.16704
95,107,0.96084
95,108,0.80195
96,80,0.46157
96,82,1.61969
96,94,6.53032
96,95,6.09108
96,97,6.43398
96,98,7.56132
96,107,0.2798
96,108,0.35958
97,80,0.4989
97,82,0.81014
97,94,5.55538
97,95,2.83116
97,96,2.27541
97,98,6.04525
97,107,2.35894
97,108,2.58229
97,204,0.54857
97,205,2.63465
98,80,0.16464
98,82,0.66515
98,94,5.85362
98,95,3.64909
98,96,3.05272
98,97,6.90117
98,107,0.89049
98,108,1.29209
98,205,0.70713
99,100,5.88686
100,99,6.40508
101,102,7.46453
101,103,3.00843
101,104,3.78355
101,105,7.58672
101,106,7.80141
101,137,0.1734
101,138,1.07472
101,141,0.0199
102,101,6.64211
102,103,3.6681
102,104,4.87488
102,105,8.54944
102,106,6.49555
102,136,0.97745
102,137,1.22804
102,138,2.51701
102,140,1.12518
102,141,1.00472
102,142,0.50575
102,207,0.1684
102,575,0.00317
103,101,6.37883
103,102,8.74055
103,104,5.79186
103,105,12.07393
103,106,6.66522
103,136,1.39001
103,137,1.58615
103,138,3.5473
103,140,0.9888
103,141,1.0076
103,142,0.49835
104,101,5.0551
104,102,7.31964
104,103,3.64961
104,105,8.66068
104,106,4.69549
104,136,1.3631
104,137,2.07488
104,138,3.79502
104,139,0.06195
104,140,2.40486
104,141,1.95246
104,142,1.17721
104,207,1.53844
104,575,1.34489
105,101,5.70805
105,102,7.22881
105,103,4.2843
105,104,4.87703
105,106,5.97433
105,136,2.36397
105,137,2.01598
105,138,3.66697
105,139,0.08156
105,140,1.90944
105,141,1.55866
105,142,1.32433
105,207,1.00026
105,575,1.07783
106,101,6.66957
106,102,6.24076
106,103,2.68744
106,104,3.00453
106,105,6.78861
106,136,0.0723
106,137,0.08554
106,138,0.98776
107,80,3.03518
107,81,3.30189
107,82,4.23038
107,94,1.44388
107,95,0.42591
107,96,0.09835
107,97,2.3445
107,98,0.77527
107,108,2.76093
107,205,1.49123
108,80,0.7786
108,82,0.85731
108,94,3.21328
108,95,0.78278
108,96,0.27831
108,97,5.65146
108,98,2.47708
108,107,6.07964
108,204,0.66985
108,205,3.81141
110,91,0.70077
110,111,7.84523
110,112,2.70007
110,113,2.91557
110,114,6.50256
111,110,8.84821
111,112,2.23142
111,113,3.33732
111,114,5.95133
112,91,0.14893
112,110,10.99965
112,111,8.06001
112,113,1.53071
112,114,7.85358
113,110,10.81971
113,111,10.98096
113,112,1.39438
113,114,7.13746
114,91,0.34066
114,110,8.85962
114,111,7.18943
114,112,2.6266
114,113,2.62049
115,116,8.78706
115,117,11.09587
115,306,7.95378
115,307,5.22854
116,115,3.55717
116,117,7.79098
116,306,6.01322
116,307,3.8757
117,115,3.62694
117,116,6.29084
117,306,5.1656
117,307,3.5747
118,119,6.97374
118,120,3.21615
118,121,12.45089
118,284,3.14389
118,285,3.65444
119,118,3.95143
119,120,2.83818
119,121,10.37238
119,284,3.09138
119,285,3.28777
120,118,3.96377
120,119,6.17338
120,121,11.74827
120,284,2.26306
120,285,3.23321
121,118,3.26133
121,119,4.79495
121,120,2.49687
121,284,2.78951
121,285,3.42622
121,440,0.04018
122,44,6.96955
122,45,2.04807
122,46,4.85224
122,123,1.87318
122,124,4.86725
122,218,4.84282
122,454,2.9209
122,455,2.10511
122,456,5.11979
123,44,5.50187
123,46,1.05584
123,122,8.48667
123,124,4.06943
123,218,6.67813
123,456,3.00222
124,44,7.20211
124,45,1.42357
124,46,4.57248
124,122,10.13038
124,123,1.86947
124,218,4.33761
124,454,2.71294
124,455,1.5111
124,456,4.87852
125,126,4.02589
125,127,4.0654
126,125,5.77789
126,127,5.48051
127,125,2.6609
127,126,2.49941
128,129,5.16746
128,130,5.72934
128,173,1.58707
129,128,9.13054
129,130,7.27148
130,128,7.22341
130,129,5.18849
131,132,7.71306
131,133,3.92779
132,131,5.61452
132,133,4.85053
133,131,5.55682
133,132,9.42717
134,135,9.02966
135,134,5.88884
136,102,0.88896
136,103,0.53053
136,104,0.82564
136,105,2.54274
136,106,0.06844
136,137,3.00349
136,138,6.63614
136,139,0.7829
136,140,2.8167
136,141,1.45644
136,142,3.06069
136,206,0.85637
136,207,1.94886
136,575,3.4591
136,576,1.72364
137,101,0.29644
137,102,2.35935
137,103,1.27887
137,104,2.6549
137,105,4.58076
137,106,0.17106
137,136,6.34482
137,138,9.89893
137,139,1.91733
137,140,5.74005
137,141,3.7228
137,142,5.05909
137,206,1.10566
137,207,4.31273
137,575,5.66544
137,576,2.25846
138,101,0.86045
138,102,2.26469
138,103,1.33944
138,104,2.27412
138,105,3.90214
138,106,0.92503
138,136,6.56524
138,137,4.63587
138,139,1.91377
138,140,4.78593
138,141,2.92607
138,142,4.64539
138,206,2.1415
138,207,4.07185
138,574,0.16114
138,575,5.37922
138,576,2.69166
139,104,0.14905
139,105,0.34849
139,136,3.11006
139,137,3.60553
139,138,7.68455
139,140,8.54311
139,141,3.39306
139,142,3.649
139,206,4.35984
139,207,9.53312
139,574,0.97998
139,575,11.25704
139,576,4.31482
140,102,1.51028
140,103,0.55699
140,104,2.1498
140,105,3.03117
140,136,4.15706
140,137,4.01022
140,138,7.13963
140,139,3.17392
140,141,3.68587
140,142,3.82503
140,206,3.3724
140,207,6.72881
140,574,1.08618
140,575,7.71793
140,576,3.35981
141,101,0.04536
141,102,2.57348
141,103,1.08308
141,104,3.33065
141,105,4.72167
141,136,4.10183
141,137,4.96321
141,138,8.32979
141,139,2.40553
141,140,7.03363
141,142,4.08897
141,206,1.18875
141,207,5.8349
141,575,6.54854
141,576,2.06941
142,102,1.05158
142,103,0.43486
142,104,1.63019
142,105,3.25668
142,136,6.99743
142,137,5.4752
142,138,10.73511
142,139,2.10005
142,140,5.92528
142,141,3.31931
142,206,1.76677
142,207,4.63108
142,575,6.47163
142,576,2.92229
143,144,7.41257
143,145,5.74605
143,146,7.0356
143,147,3.33093
143,148,10.72454
143,370,2.74483
143,371,3.49396
144,143,6.62955
144,145,5.68521
144,146,7.04809
144,147,3.3643
144,148,10.24434
144,370,2.76041
144,371,3.44468
145,143,5.40822
145,144,5.98297
145,146,7.28363
145,147,4.30283
145,148,8.63783
145,370,3.74103
145,371,4.05053
146,143,4.61881
146,144,5.17351
146,145,5.08032
146,147,3.50869
146,148,7.30172
146,350,1.16997
146,370,2.10921
146,371,2.19659
147,143,5.44627
147,144,6.15054
147,145,7.47484
147,146,8.73875
147,148,8.84749
147,370,3.13231
147,371,3.04144
148,143,5.21055
148,144,5.5651
148,145,4.45886
148,146,5.40381
148,147,2.629
148,286,0.02838
148,370,3.01734
148,371,3.97492
148,486,1.2098
149,150,2.87747
149,151,4.42815
149,176,0.65201
150,149,3.68643
150,151,2.29779
151,149,5.87084
151,150,2.3779
152,153,3.44705
152,351,0.51739
153,152,0.87966
153,403,0.83513
153,404,4.65616
153,405,1.07727
153,406,0.41894
153,550,0.07515
154,155,1.37646
155,154,0.64056
155,484,4.57938
155,485,3.71189
156,157,8.29948
156,158,3.56909
157,156,2.47608
157,158,2.14083
158,156,3.06965
158,157,6.17164
159,160,6.93871
159,161,4.21689
159,264,0.14506
160,159,4.19034
160,161,5.28505
160,264,0.38207
161,159,2.71362
161,160,5.63164
162,163,6.97675
162,164,1.55483
162,165,2.23377
162,166,2.77524
162,500,1.92047
162,501,0.62765
162,521,2.15347
162,523,1.50132
162,524,1.28164
163,162,4.35895
163,164,1.66973
163,165,1.91848
163,166,4.57128
163,500,1.52293
163,501,0.79728
164,162,4.49402
164,163,7.72451
164,165,2.63372
164,166,2.37812
164,500,4.95023
164,501,3.49881
165,162,7.38117
165,163,10.14647
165,164,3.01095
165,166,3.66079
165,500,2.79003
165,501,0.65006
166,162,4.85859
166,163,12.80912
166,164,1.44043
166,165,1.93953
166,500,0.28551
167,168,2.98621
168,167,9.51035
169,170,7.29551
169,262,4.44094
169,263,2.00097
169,264,0.05464
169,346,1.02774
169,347,4.04698
169,348,2.36907
170,169,7.44939
170,262,3.79063
170,263,1.21596
170,346,0.93875
170,347,4.65614
170,348,3.06009
171,5,4.20622
171,6,9.88354
171,7,7.09691
171,8,0.26799
171,9,3.90693
171,10,9.35456
171,172,2.55904
171,173,5.39223
172,6,6.28338
172,7,2.84806
172,9,0.94795
172,10,4.70829
172,171,2.74993
172,173,2.27489
173,5,4.27959
173,6,4.18318
173,7,3.26477
173,9,1.92925
173,10,4.80135
173,128,1.74677
173,171,2.26892
173,172,0.89077
174,175,7.40073
174,176,6.0764
174,177,1.76061
174,178,5.90857
175,174,1.99655
175,176,5.90417
175,177,2.55941
175,178,7.8717
176,149,0.45542
176,174,1.39564
176,175,5.02665
176,177,1.75651
176,178,6.21103
177,174,2.1907
177,175,11.80469
177,176,9.51583
177,178,11.65769
178,174,1.51776
178,175,7.49523
178,176,6.9464
178,177,2.40665
179,43,5.06009
179,180,8.95926
180,3,0.89764
180,43,2.55468
180,179,2.86747
181,182,2.95144
181,183,3.52969
181,184,4.27311
181,185,2.00616
181,345,6.00868
182,181,9.39358
182,183,2.45293
182,184,4.65914
182,185,0.45043
182,345,8.81948
183,181,6.95603
183,182,1.51884
183,184,4.19526
183,185,2.91191
183,345,4.88658
184,181,8.00742
184,182,2.74319
184,183,3.98916
184,185,1.58094
184,345,7.60172
185,181,6.59573
185,182,0.46529
185,183,4.85793
185,184,2.77373
185,345,2.8376
186,187,10.66558
187,186,3.11268
187,419,0.73301
187,421,0.31392
188,190,3.89151
188,191,0.70806
188,192,3.15556
188,408,5.9044
188,409,3.73732
188,410,2.28383
189,190,2.76358
189,191,0.71335
189,192,2.05085
190,188,1.66851
190,189,1.11526
190,191,3.25974
190,192,4.11143
190,260,1.4453
190,408,3.04841
190,409,0.61066
190,410,2.09245
191,188,0.96783
191,189,0.91776
191,190,10.39209
191,192,5.90901
191,408,3.35218
191,410,1.0809
192,188,2.39668
192,189,1.46609
192,190,7.28309
192,191,3.28335
192,408,4.58048
192,409,0.99667
192,410,1.56276
193,194,6.15309
193,234,2.44825
193,235,5.41066
193,236,6.49905
193,237,4.03436
193,238,1.71762
194,193,5.71554
194,234,2.20161
194,235,5.04905
194,236,5.12358
194,237,2.81461
194,238,1.00831
195,196,1.96633
195,197,7.28903
195,198,1.5244
195,199,6.28251
196,195,9.18182
196,197,8.25829
196,199,6.31138
197,195,8.94058
197,196,2.16927
197,198,1.28499
197,199,6.51721
198,195,6.31666
198,197,4.34103
198,199,4.78197
199,195,8.83323
199,196,1.90037
199,197,7.47054
199,198,1.62257
200,273,4.86148
200,274,4.24038
200,311,1.2761
201,366,3.67544
201,367,7.90752
201,368,2.03974
201,415,1.3166
201,416,2.17263
201,418,2.284
202,203,4.57919
202,222,3.31408
202,223,0.22655
202,333,1.46802
202,334,1.27329
202,335,4.14687
202,336,3.98778
203,202,7.55286
203,222,0.66428
203,333,0.07858
203,334,0.16785
203,335,3.46054
203,336,2.3817
204,97,2.10741
204,108,1.17582
204,205,8.30888
205,94,1.17273
205,97,3.82441
205,98,0.89915
205,107,2.17798
205,108,2.52796
205,204,3.13956
206,136,1.11912
206,137,0.68397
206,138,2.82875
