"r","obs","mmean","lo","hi"
6.34765625,5.8627314746699,5.21419585328855,4.79927695817589,5.58882108137764
6.4453125,5.97788637416595,5.33573672830785,4.91528997455497,5.70374095418888
6.54296875,6.07194716016757,5.45213047232109,5.01112885736728,5.79460871023854
6.640625,6.13808281299652,5.57433783088138,5.12203416344307,5.93711885880391
6.73828125,6.28626012212226,5.69673344362337,5.3080719886641,6.00919634277244
6.8359375,6.39274097492024,5.81251907449105,5.36801712948575,6.19450424829418
6.93359375,6.45008057732125,5.93530415411926,5.47086547751619,6.29130373432938
7.03125,6.59212724025484,6.049810809452,5.62683788303139,6.40993586912736
7.12890625,6.75445544427151,6.15913569556491,5.79493257585913,6.53971949324806
7.2265625,6.88217313210851,6.2719975836731,5.88538609413351,6.64535086374626
7.32421875,6.92890930282445,6.38406279817932,5.97920658504192,6.73972735331766
7.421875,7.04539915522336,6.49748283503582,6.09445147438179,6.86514489774828
7.51953125,7.16989157919789,6.60326764986946,6.24657441308843,6.9358100920154
7.6171875,7.29269017663262,6.71183103281652,6.31304588375868,7.04879109615681
7.71484375,7.35135810632646,6.82509557389427,6.45225337657024,7.12058014040217
7.8125,7.42610728644023,6.93050353493508,6.56394182339251,7.25969779255482
7.91015625,7.49192492877525,7.04150581710439,6.60620187518333,7.46498329589252
8.0078125,7.59785607453122,7.14656656002054,6.72709028540143,7.54543614315703
8.10546875,7.66698450174433,7.26251912479863,6.84769684102495,7.70598504095923
8.203125,7.79217759999278,7.3719276010305,6.90471555728695,7.82118385199247
8.30078125,7.90047647099315,7.47456966759459,6.9649087114787,7.84525439877599
8.3984375,7.96237390339085,7.58057549261054,7.04436620774506,7.96224279881245
8.49609375,8.04116669096053,7.6957974144913,7.12293739818125,8.11827145771837
8.59375,8.14122266146323,7.80775097125074,7.24092683165474,8.24051096658595
8.69140625,8.26242200838271,7.91577376209753,7.38830230882261,8.3507904487134
8.7890625,8.31512344510118,8.0192695223506,7.51401863552901,8.45307787672891
8.88671875,8.43686182790964,8.1201129378176,7.63075892917538,8.55802597847894
8.984375,8.52328729784463,8.22603525686756,7.70745052343964,8.72279353738699
9.08203125,8.60925263449881,8.33026105579074,7.83525583984153,8.77996086963868
9.1796875,8.71551700293253,8.44200866472589,7.96458222964024,8.89456154296858
9.27734375,8.86214672715928,8.54640869696701,8.10313852231826,8.98812503885412
9.375,8.93390076370203,8.65599923008877,8.23020190129488,9.09323488053016
9.47265625,9.01268942130134,8.76576998876117,8.42782139296263,9.22908370906719
9.5703125,9.13283442702819,8.87736096657446,8.53214702840203,9.33692794029026
9.66796875,9.21404675534969,8.98349021493391,8.61801708669333,9.45134693569248
9.765625,9.3601394580089,9.09060505676261,8.69425486045241,9.54367358704699
9.86328125,9.5138860860029,9.19696993881111,8.81464236979292,9.66634710632965
9.9609375,9.57176221391382,9.30063832618366,8.928841226327,9.7680608088688
10.05859375,9.68278599821288,9.40232175112671,8.9919689083924,9.86131731128516
10.15625,9.82021828519863,9.50760515901132,9.15922834492956,9.98510541038334
10.25390625,9.95766791545567,9.60867303175582,9.22233429763864,10.1249449441558
10.3515625,10.0749239852774,9.71595554293324,9.34274870332045,10.2193705499767
10.44921875,10.1755803596757,9.82463824605564,9.44672874244208,10.308966565626
10.546875,10.2722447721411,9.92456477482657,9.51334943665783,10.3883839683902
10.64453125,10.3984045380043,10.0293780998765,9.60212301060377,10.4910433030719
10.7421875,10.4553598503202,10.135438942554,9.74071632531541,10.6253675203153
10.83984375,10.5674686177096,10.238135656555,9.8194790299011,10.7398692218258
10.9375,10.6380357793544,10.3370666171935,9.90106914873039,10.7941630211319
11.03515625,10.7140299796841,10.440020800058,10.0432967087761,10.8493884709378
11.1328125,10.8159427149673,10.5412016706967,10.1700065914835,10.9524915098577
11.23046875,10.9144354206308,10.6443921146375,10.2622869159388,11.0628794404768
11.328125,10.9940186947642,10.7489372730371,10.3187895449706,11.1633598406019
11.42578125,11.1299454553082,10.8490017177492,10.4382098087803,11.2795464400685
11.5234375,11.2775870510248,10.9578436943854,10.5292702934931,11.3793550894023
11.62109375,11.3688278810703,11.0611861305392,10.6095467254847,11.5278722998857
11.71875,11.4945429059167,11.1641089957238,10.7648064491242,11.6448967720812
11.81640625,11.6141809464566,11.2683627609963,10.9101596551581,11.7349015405606
11.9140625,11.6840455330778,11.3678429525386,10.9581894348436,11.8333683244673
12.01171875,11.7508292612478,11.4690912276087,11.0801694721893,11.9306015386112
12.109375,11.8778054437986,11.5723123453632,11.1877588715115,12.0435298630542
12.20703125,11.9509193849922,11.6783236738817,11.2824657171199,12.1733834977832
12.3046875,12.0549550084881,11.7746636772187,11.3406080667537,12.3033364742773
12.40234375,12.1535879789558,11.8727351308069,11.4447767934593,12.3711672843957
12.5,12.2199459530655,11.9714845036261,11.5388708321447,12.4805829154271
12.59765625,12.3143728086973,12.0760765518202,11.6231759678276,12.6074728036814
12.6953125,12.3995830173219,12.1755907637026,11.7303744436377,12.6668993158027
12.79296875,12.4494418364313,12.278707916415,11.7980845345546,12.7475613685674
12.890625,12.5355316388696,12.3822987427954,11.8859807273439,12.8425934019561
12.98828125,12.637672118346,12.4861891659334,12.015129830796,12.9597188215838
13.0859375,12.7449573395511,12.5909235080027,12.1168456959727,13.0565380989383
13.18359375,12.9016776638015,12.6945774814123,12.3070630844567,13.1668752604846
13.28125,13.0240653608744,12.795455695167,12.4005187820856,13.2458603748402
13.37890625,13.1171650485552,12.8890520320332,12.4574676091412,13.3385812817728
13.4765625,13.2065460853441,12.9879988879733,12.5474871903121,13.4208076568132
13.57421875,13.29541057732,13.0907650295689,12.6677422215939,13.5626035973877
13.671875,13.410675436052,13.1958138360412,12.7860754054492,13.6359378175211
13.76953125,13.5047255241864,13.2945751674532,12.9057074755448,13.7308162283206
13.8671875,13.6043222552497,13.3908740619469,13.0086377427675,13.8582311197747
13.96484375,13.73311962048,13.4921658845077,13.1342719484556,13.9655002671057
14.0625,13.8194357298806,13.5918573995246,13.2401628371587,14.0808912378159
14.16015625,13.9249451731814,13.6872006231473,13.3313395203245,14.1432872642694
14.2578125,14.0060803964429,13.7896062907735,13.4053570964244,14.2626402282879
14.35546875,14.1527144132783,13.8924192687398,13.5160866590154,14.3167295532538
14.453125,14.2617710872031,13.9967890287788,13.63762512664,14.4041856736755
14.55078125,14.3653600352059,14.0977994660099,13.7270277736055,14.5249945473293
14.6484375,14.4860079822621,14.2080020709787,13.8267519000887,14.6339246615749
14.74609375,14.5764632760649,14.2990016213528,13.8912459427907,14.7206960833966
14.84375,14.6316377621983,14.3958622964225,14.0469817937241,14.7801434301904
14.94140625,14.7226413305513,14.4964960356459,14.1469559612029,14.8717960465697
15.0390625,14.8047799752512,14.6026609219563,14.246318144798,15.0215617255864
15.13671875,14.8568913935879,14.7059478088438,14.3529915434272,15.1065113202618
15.234375,14.9654570372605,14.8075568832433,14.4447116580843,15.2817323904329
15.33203125,15.057431581759,14.9072426033269,14.5290432488659,15.373834793588
15.4296875,15.1296770175375,15.0109180271089,14.6160296807042,15.448521012678
15.52734375,15.2304798128926,15.1098307031583,14.7321242534562,15.5774913619915
15.625,15.3377032822583,15.2079240311376,14.8005013231434,15.6701105002711
15.72265625,15.4247266103963,15.3112340139009,14.9436305180005,15.8002432900969
15.8203125,15.523543552997,15.4121621413003,15.039902311309,15.9205538862577
15.91796875,15.6212092812361,15.512663965982,15.1406343336112,16.0584344195147
16.015625,15.7278645894951,15.6134966206117,15.238328011082,16.1813944904054
16.11328125,15.8660320793245,15.7161703811992,15.2953192066649,16.2490770888386
16.2109375,15.9500853832397,15.8129662325118,15.3806856921346,16.319798797055
16.30859375,16.0438622748752,15.9099377983526,15.4939103666267,16.4440496149024
16.40625,16.1596301245765,16.0123537958261,15.57379009849,16.5528113289531
16.50390625,16.2642461086694,16.1131543289466,15.6856260402754,16.6239525377249
16.6015625,16.3783513067605,16.2131753879859,15.7469577224812,16.6918146306102
16.69921875,16.5087447123798,16.3101713741675,15.8364777041613,16.7367011246964
16.796875,16.6113008387583,16.4102259515499,15.9370874230051,16.8852333845302
16.89453125,16.7216471882359,16.5068653875194,16.0326243048155,16.9485012071133
16.9921875,16.7999960726569,16.6069885387495,16.1163454516452,17.0479868083767
17.08984375,16.9164928395645,16.7042529736426,16.2096977118961,17.1473874958775
17.1875,17.0236630346138,16.8013209869954,16.3072469501459,17.2970592195502
17.28515625,17.0930289113005,16.9017817114889,16.4395183200257,17.4168614006264
17.3828125,17.1912346632107,17.0017865857913,16.513604370368,17.5172529735706
17.48046875,17.2890886989246,17.1011448698928,16.6217442037972,17.5606527243523
17.578125,17.3884458953648,17.2027994652176,16.7007963647406,17.6762758690828
17.67578125,17.5145622662329,17.3047243744156,16.8138107960891,17.7736352402123
17.7734375,17.6289016512318,17.4081077175435,16.8886779634754,17.8880746636906
17.87109375,17.7292591778728,17.5084131856007,16.9932162295119,17.9527698546344
17.96875,17.8213164137972,17.6068342264331,17.0917966856589,18.1024553580552
18.06640625,17.9486846984946,17.7073106249032,17.164323458793,18.2182891161424
18.1640625,18.0483631339449,17.8091341501029,17.302990715638,18.3012851138105
18.26171875,18.1609883906993,17.9104040878395,17.3922126256602,18.4092300206419
18.359375,18.2447873838638,18.01277776562,17.4849424676653,18.4936079844643
18.45703125,18.3798262988013,18.1114940493887,17.6122935738027,18.5827541503461
18.5546875,18.4540502321159,18.2137725825417,17.7127019783941,18.6922510164596
18.65234375,18.5585648643362,18.3128331034112,17.8106236551043,18.7963545697738
18.75,18.6142849403696,18.4120283273864,17.9410275487918,18.8600505516165
18.84765625,18.7088299456039,18.5145962076611,18.0492180210521,18.9212560758273
18.9453125,18.8138867816164,18.6136276022805,18.1863422846217,19.0255813672078
19.04296875,18.924333125351,18.7162712956208,18.2990239417584,19.1401192456022
19.140625,19.0250435993835,18.8150206589407,18.4096984414086,19.2429123289858
19.23828125,19.1130698578524,18.9173726178463,18.5618127521575,19.3677684361679
19.3359375,19.2404837580661,19.0173923632412,18.6605206758041,19.4572111745403
19.43359375,19.3593155705253,19.1164578095678,18.7526109867814,19.5336533633315
19.53125,19.4717228074037,19.2160181358091,18.8470295277001,19.6234528845083
19.62890625,19.592020092183,19.315993932916,18.9360750255307,19.7336715335651
19.7265625,19.6835702790255,19.4194521914639,19.016845847518,19.7861154043821
19.82421875,19.7355073422374,19.5177953035777,19.1183947417802,19.9018351252351
19.921875,19.8113471092297,19.6171303104883,19.1901381968449,19.9911337178232
20.01953125,19.8787188988933,19.7153052343203,19.2776146843571,20.0905218194502
20.1171875,19.9523430153496,19.8122691592088,19.3665302328833,20.1737722042854
20.21484375,20.0514306215568,19.9111016462256,19.4574621193063,20.2716506689386
20.3125,20.130516177998,20.0097554682693,19.560994228941,20.384520504686
20.41015625,20.2497078036433,20.1107934596134,19.6434325771817,20.507405592052
20.5078125,20.3693976327356,20.2060008238285,19.7508750750991,20.584539934261
20.60546875,20.4546229404502,20.3051505235101,19.871806174594,20.6812097819812
20.703125,20.5295821047145,20.4016065459218,19.9557281074357,20.7780448219057
20.80078125,20.6035659302679,20.5014431376329,20.0687873212888,20.8656143201954
20.8984375,20.6882448055735,20.599081850763,20.208883154078,20.9834000851485
20.99609375,20.7823918691871,20.6959135781252,20.317876784272,21.0848398662334
21.09375,20.9009400659918,20.7907958457002,20.4638657039463,21.1812588418918
21.19140625,20.9825914159505,20.8940667499156,20.5364156093851,21.2795627571889
21.2890625,21.0438247136127,20.99250364631,20.658033475686,21.3807479837705
21.38671875,21.143393844679,21.0901632414789,20.7686029897686,21.4553747579783
21.484375,21.2539655620188,21.1940966836374,20.827195326024,21.5723116275663
21.58203125,21.3483701163644,21.2921270608706,20.9264122611584,21.7169888959989
21.6796875,21.4376376876685,21.3923051305668,21.0056016563161,21.8091369031589
21.77734375,21.5748912928283,21.4938504541635,21.1007973556674,21.8664922418056
21.875,21.6414568459426,21.592092487276,21.1792071902621,21.9812193303019
21.97265625,21.7775738622521,21.6880104069412,21.2716989908877,22.1232524290662
22.0703125,21.9216271471551,21.7881254391862,21.3581844696084,22.2369778244247
22.16796875,22.0493448338517,21.8858969061079,21.4638569299423,22.2952472876735
22.265625,22.1463259667385,21.9858622798243,21.5728160446254,22.4421282827923
22.36328125,22.2289687746308,22.0879184763696,21.6579710183216,22.5401637532578
22.4609375,22.3037923066099,22.1878390716838,21.7733680349949,22.6308654652418
22.55859375,22.3866164153949,22.2867611538849,21.8682102798418,22.7432746792165
22.65625,22.5041167127597,22.3825234169649,21.9992904485796,22.897902615543
22.75390625,22.6130988744083,22.4827371212883,22.1002301941445,22.9802316732175
22.8515625,22.724680115214,22.5808795494102,22.1952112782926,23.1529679652731
22.94921875,22.8516097440682,22.6804631960048,22.2784028693821,23.2482932539152
23.046875,22.9474584588654,22.7824461670467,22.3856307094365,23.2804097134695
23.14453125,23.0418037935378,22.8816162553903,22.4642288023314,23.396284657203
23.2421875,23.1960948677101,22.9800497537995,22.5420546369028,23.4711443653184
23.33984375,23.29491908281,23.0777292613326,22.6248911628174,23.5611336125133
23.4375,23.3826984985324,23.1764988560412,22.6957566907857,23.639442785663
23.53515625,23.4817222374872,23.2801748899411,22.8266311820799,23.7571584859511
23.6328125,23.5975470402114,23.3767363360435,22.9348306601117,23.863713059955
23.73046875,23.679631215593,23.4757990323853,23.0767560971191,23.9618801526307
23.828125,23.7490472148119,23.5722052221304,23.1967204458302,24.0377322324257
23.92578125,23.8416545676117,23.6739510036999,23.3039177908828,24.1505374191817
24.0234375,23.938861472268,23.7717151010422,23.411339565744,24.2512278116701
24.12109375,24.0401381487864,23.8720240251228,23.5330721736541,24.3280831167657
24.21875,24.1199709477393,23.9720328171759,23.6415362135541,24.4158858666593
24.31640625,24.2457941985466,24.0698328628213,23.6926646289122,24.5091651732369
24.4140625,24.3183423358922,24.1698514939438,23.7920086946203,24.5971774703181
24.51171875,24.4052625759628,24.2666455015376,23.9192849508762,24.7078107616508
24.609375,24.4929036168182,24.3626294028212,24.006605286095,24.8043455749468
24.70703125,24.5711258599752,24.4631043930579,24.088552537307,24.9062131062315
24.8046875,24.6696207180493,24.5641152916188,24.211881927501,25.0095103102306
24.90234375,24.762546663985,24.6603230183637,24.2855341201338,25.0940387599034
25,24.8664067300447,24.7629018023105,24.3803870441354,25.2147134040019
25.09765625,24.9681535469794,24.859413989829,24.5166066606416,25.319853210691
25.1953125,25.0684434524281,24.9564360223442,24.6098708275057,25.4209271341636
25.29296875,25.1397365127994,25.0540223990605,24.7394693272586,25.5037451994445
25.390625,25.2499880699692,25.1487992338063,24.826732966477,25.5881837301143
25.48828125,25.3264947161684,25.2479266116293,24.8842691576318,25.6566007169409
25.5859375,25.4117868316394,25.3440495553917,24.969911103583,25.7264660253972
25.68359375,25.5302587340204,25.4481099025002,25.0745799149726,25.8213932690911
25.78125,25.6270632305268,25.5481713940167,25.1623620582856,25.9328529963897
25.87890625,25.727561434197,25.646653803051,25.2424427768508,26.0209159318746
25.9765625,25.842872966016,25.7453775358174,25.3472173953319,26.094064032244
26.07421875,25.9536631975667,25.8438570735807,25.4431990893554,26.221379002716
26.171875,26.0615245095976,25.9436035427618,25.5374347578152,26.3324571557727
26.26953125,26.1415585043338,26.0415712112805,25.6232026453694,26.427814826656
26.3671875,26.2447340681371,26.1440990804939,25.7102462001132,26.5300006433443
26.46484375,26.3716120625405,26.2401506797842,25.8102858559958,26.6497487946478
26.5625,26.4988109024572,26.3404904580744,25.9032842592254,26.7386354548638
26.66015625,26.6017911322363,26.4370583105996,26.0064509311477,26.8679509330332
26.7578125,26.7241530282267,26.5332265109104,26.0662287834417,26.9683152290093
26.85546875,26.8256551786788,26.6274249679138,26.1493634613684,27.0215845130245
26.953125,26.9229728873606,26.722743560036,26.2250377807213,27.1707694999093
27.05078125,27.0174098146634,26.818291112732,26.3609515709393,27.2878957949428
27.1484375,27.118688422312,26.9188502845259,26.510148038807,27.3407836186209
27.24609375,27.2369504127264,27.0180711271207,26.6037468911979,27.4271252113158
27.34375,27.3265527529793,27.1188564242085,26.6640248485666,27.515434446673
27.44140625,27.4225713929857,27.2170354244533,26.7439184066123,27.6400582110846
27.5390625,27.5206556994093,27.317332536122,26.8652320394507,27.7264673350718
27.63671875,27.6088650995001,27.4162657904339,26.9582387929179,27.7952749710258
27.734375,27.7101837895903,27.5166631478287,27.0364947563012,27.9025866619699
27.83203125,27.8335490704662,27.6146851251985,27.1242988045135,27.9982177813616
27.9296875,27.956936015113,27.713862439023,27.241246067704,28.108543309453
28.02734375,28.0739382071536,27.8087190718821,27.3399339870663,28.2068046170312
28.125,28.1665115918429,27.9116733433686,27.4482116306682,28.3244625944276
28.22265625,28.2408331741408,28.0092555516939,27.535675236713,28.4285497040095
28.3203125,28.3468227053901,28.1040232937191,27.6821242547999,28.5060804403468
28.41796875,28.4511607366131,28.2021378581858,27.7760301859961,28.5972398710481
28.515625,28.5706709267186,28.3012588485428,27.9167981764116,28.7151814356523
28.61328125,28.6608785254048,28.3992734560052,28.0204576355315,28.8037270087602
28.7109375,28.7699862708046,28.4990776637108,28.1089769721924,28.9175138323741
28.80859375,28.8665310721097,28.5968245871709,28.1852938030888,29.0474209497713
28.90625,28.9801529793902,28.6948056828977,28.262039270553,29.1455487065175
29.00390625,29.0732501914399,28.7956724790135,28.3852179496979,29.2644721953785
29.1015625,29.1499002962561,28.8922369949436,28.4455693524339,29.3678474225476
29.19921875,29.2574620735061,28.9862571622541,28.5586716690346,29.45432119773
29.296875,29.3588253411537,29.0884427839345,28.6368603503572,29.5723651706824
29.39453125,29.4697746157999,29.1876118510806,28.7297253033798,29.702434253379
29.4921875,29.5570723410763,29.286777059433,28.8496309705204,29.8231364506492
29.58984375,29.6313311434916,29.3835664833371,28.9638875143015,29.9188876842285
29.6875,29.7268624316511,29.484279501762,29.036391529963,30.0126358560344
29.78515625,29.8330356701237,29.5826904377841,29.1256652962451,30.1433590690487
29.8828125,29.9496872808895,29.6799619048487,29.2333708401414,30.2345103957245
29.98046875,30.0399098303566,29.7784611507376,29.3503337732279,30.322390324594
30.078125,30.1609461420257,29.8768146652164,29.4673656818168,30.3893399149868
30.17578125,30.2661913128553,29.9757532322252,29.5665666322247,30.5021097610511
30.2734375,30.360076107604,30.0751784306838,29.6611196417455,30.5881714235831
30.37109375,30.4458796434124,30.1759459245577,29.7699331690896,30.7063646843179
30.46875,30.5417420726708,30.2764706027904,29.8410057177311,30.7995151586496
30.56640625,30.6377262647165,30.3765424611078,29.9516546168705,30.9065440480998
30.6640625,30.7294227989673,30.4744175165588,30.0324493596631,30.9972342404486
30.76171875,30.8021942347842,30.5739337065265,30.1594475607582,31.0974216608784
30.859375,30.9081934337971,30.6715090029471,30.2660919695234,31.2039867304489
30.95703125,31.0041490956012,30.7705876449886,30.3471309033581,31.2653822066852
31.0546875,31.1162757424378,30.8740427478233,30.4361783920603,31.3657431816194
31.15234375,31.2334474411012,30.9726051688069,30.5147396119724,31.4987859719882
31.25,31.3214639832016,31.0695024358822,30.6322008844699,31.5948808963162
31.34765625,31.4539537689425,31.1673857031095,30.7382262649181,31.6488660829354
31.4453125,31.546409106225,31.265222982581,30.8333159459517,31.7564192012251
31.54296875,31.6498641959041,31.3617652008744,30.9211736854659,31.8743394418295
31.640625,31.7319477113963,31.4601005100783,31.0130627845113,31.9710406888113
31.73828125,31.833603572333,31.5589021606534,31.0732331022603,32.0828522567595
31.8359375,31.9292504250099,31.6556188987926,31.1916212535248,32.1603662830336
31.93359375,32.0401462873579,31.7528713375937,31.3206433049988,32.2134754170459
32.03125,32.1130021315553,31.8489741550441,31.3822413058681,32.299100847725
32.12890625,32.2030982187758,31.9532399318129,31.4933040021559,32.38670172374
