"func","group","r","obs","mmean","lo","hi"
"L","CSR",0,0,0,0,0
"L","CSR",0.09765625,0,0.0393871393404206,0,0.428852448025597
"L","CSR",0.1953125,0,0.145340874818535,0,0.527963496269244
"L","CSR",0.29296875,0,0.242555513976851,0,0.605301020493792
"L","CSR",0.390625,0.606795798235506,0.367998749487164,0,0.693838894157906
"L","CSR",0.48828125,0.606795798235506,0.488112839441381,0,0.765651957913857
"L","CSR",0.5859375,0.606795798235506,0.59581752097574,0,0.897806502484705
"L","CSR",0.68359375,0.606795798235506,0.69262699808421,0.260959878176276,0.987729257881406
"L","CSR",0.78125,0.606795798235506,0.79344113887784,0.36905299895212,1.05865273881079
"L","CSR",0.87890625,0.606795798235506,0.889109752962407,0.583524027002216,1.20401545792359
"L","CSR",0.9765625,0.700667434908806,0.971944211952129,0.649845626881542,1.2838050185195
"L","CSR",1.07421875,0.78337000703825,1.07423187685448,0.750377095223519,1.40633793616294
"L","CSR",1.171875,0.85813884745566,1.16385760342199,0.782917322801061,1.45245957490634
"L","CSR",1.26953125,0.990893389161201,1.26210093374489,0.96693494393528,1.52934422504489
"L","CSR",1.3671875,0.990893389161201,1.36410824074232,1.06702554841176,1.61596930613552
"L","CSR",1.46484375,1.1078524883098,1.46783613844137,1.16768369986383,1.71966498709941
"L","CSR",1.5625,1.16192549220664,1.56690879046553,1.28356715615933,1.82646364890002
"L","CSR",1.66015625,1.16192549220664,1.67261335510941,1.38982159495895,1.94800180138489
"L","CSR",1.7578125,1.31082874174924,1.7678560911011,1.4498412736159,2.01310071396627
"L","CSR",1.85546875,1.4611727357602,1.86374126883716,1.52620026727648,2.16629730212286
"L","CSR",1.953125,1.53154236026102,1.96176244009515,1.65135412490943,2.25789768048075
"L","CSR",2.05078125,1.57110016067064,2.06599253887448,1.7529863780111,2.3888973449766
"L","CSR",2.1484375,1.60968612730704,2.16207621533867,1.84269673801024,2.4978927199717
"L","CSR",2.24609375,1.68420807966699,2.26412766672759,1.92509686629569,2.55258825124866
"L","CSR",2.34375,1.79018378843398,2.36240605272768,2.00311699902738,2.65982352090648
"L","CSR",2.44140625,1.82414136238321,2.45704253234678,2.15068297201946,2.73754746730666
"L","CSR",2.5390625,2.01591021413896,2.55337890867499,2.25459877589296,2.82881744145909
"L","CSR",2.63671875,2.10525417283188,2.65171318340879,2.28730861090139,2.91631082256347
"L","CSR",2.734375,2.13420449952939,2.74911788126895,2.41371929736787,2.98123017811155
"L","CSR",2.83203125,2.16276733824905,2.8433776534303,2.47450417841176,3.09294524907952
"L","CSR",2.9296875,2.24627774332409,2.94090597321383,2.57743061465035,3.17197174581686
"L","CSR",3.02734375,2.30026762080502,3.04030657695505,2.64850168518937,3.32579743121194
"L","CSR",3.125,2.42999993729447,3.13783240983811,2.74792272784551,3.37897761587256
"L","CSR",3.22265625,2.50461590588405,3.23600108069799,2.88804276592179,3.47907739405792
"L","CSR",3.3203125,2.6706248016345,3.33372365078097,2.96878459378098,3.57486977001178
"L","CSR",3.41796875,2.71619297147242,3.42937833054091,3.10393395225261,3.71904281324576
"L","CSR",3.515625,2.80510946535387,3.52894519142744,3.2544392877463,3.83852731734184
"L","CSR",3.61328125,2.89129278471751,3.62609597429199,3.31059389362249,3.91933244507
"L","CSR",3.7109375,2.9749804741042,3.71893671554228,3.40309494232506,3.9615039870908
"L","CSR",3.80859375,3.01595362173759,3.81569969787652,3.49619333859198,4.08796710526071
"L","CSR",3.90625,3.05637754141122,3.90672984297834,3.58517881410629,4.18923807023035
"L","CSR",4.00390625,3.15517230013989,4.00078009517988,3.72142922311191,4.29163584319531
"L","CSR",4.1015625,3.19383463421963,4.09359245466745,3.78898420500005,4.37745939080472
"L","CSR",4.19921875,3.32561508082923,4.18998433563607,3.88497810474135,4.47615539781074
"L","CSR",4.296875,3.41663346494264,4.28394940602216,3.97390504737069,4.58485145461373
"L","CSR",4.39453125,3.49440425700389,4.37879102709559,4.05254164194695,4.65235345905466
"L","CSR",4.4921875,3.58248087228796,4.47555642780147,4.15213216150027,4.79368806934116
"L","CSR",4.58984375,3.63350661772693,4.57324413049574,4.24938927534484,4.8809880130664
"L","CSR",4.6875,3.76238546905046,4.66986539762964,4.3359121784976,5.01317529327514
"L","CSR",4.78515625,3.85900851245946,4.76702870804099,4.45124676476265,5.10724383960888
"L","CSR",4.8828125,3.93771701207206,4.86088767902695,4.49277312624663,5.19047015274361
"L","CSR",4.98046875,4.08170381952067,4.95659331422596,4.62315159754564,5.31762680009322
"L","CSR",5.078125,4.30131512145657,5.06022399947303,4.75148773349501,5.43641407647213
"L","CSR",5.17578125,4.41397570029042,5.16091860990848,4.87477500249089,5.5086942706181
"L","CSR",5.2734375,4.51024583341665,5.26162253557941,4.97946074877397,5.58954776938202
"L","CSR",5.37109375,4.6631508434057,5.3577811470342,5.05709701679696,5.70139721542126
"L","CSR",5.46875,4.80573060395555,5.45697130245418,5.1246426463781,5.80787447149176
"L","CSR",5.56640625,4.992151895659,5.55397553105313,5.21542291422265,5.90005585344801
