"r","obs","mmean","lo","hi"
0,Inf,NA,NA,NA
0.09765625,1.89101014858281,9.45872827799804,5.49019268436792,13.756440796408
0.1953125,1.09453168732522,5.67291885849581,3.54815257659633,7.98089069537478
0.29296875,0.825683132584766,4.46998534910445,2.95532547916702,6.1145285203707
0.390625,0.707409889125423,3.90759579741835,2.70036603288496,5.20944997841904
0.48828125,0.66110091391544,3.59917679823508,2.58821283322006,4.66852624787604
0.5859375,0.633710781934924,3.41547441060958,2.52349141298122,4.33945912578426
0.68359375,0.610341105881558,3.2993427022598,2.51500868697902,4.20404581953659
0.78125,0.591803191974117,3.22438528857651,2.50253352800536,4.12777235944136
0.87890625,0.577765168855022,3.17446635158271,2.49015715905338,4.05121789314469
0.9765625,0.571299299190358,3.13831653745455,2.50374238390164,3.98675556320979
1.07421875,0.568820586665792,3.10981726508355,2.50890900512632,3.92633511754231
1.171875,0.574022545867778,3.08550703824847,2.49851429598477,3.88130668974862
1.26953125,0.583547495387016,3.06220078737988,2.46774183984736,3.85236451513793
1.3671875,0.589508107780811,3.03799728995701,2.43389166822736,3.80339190722285
1.46484375,0.588812173725728,3.01232319211488,2.40170039437879,3.74457973709657
1.5625,0.585876984506708,2.9853634236184,2.3846736416925,3.71308074674404
1.66015625,0.58432834346798,2.95695431694857,2.37421111016254,3.69499207904204
1.7578125,0.584641531839085,2.92832969979033,2.34445693948166,3.67088897502704
1.85546875,0.592004008615292,2.89995889940079,2.30532826465181,3.63793535374746
1.953125,0.604625076405688,2.8712845014573,2.28117195100537,3.60698341109298
2.05078125,0.61540537814201,2.84237237191883,2.26732947194226,3.57207822984566
2.1484375,0.624046071038172,2.81311057425115,2.26108106614747,3.52567596690643
2.24609375,0.631350820551044,2.78396559808703,2.25783347081423,3.463247575027
2.34375,0.635172673728254,2.75502252867793,2.25126885540133,3.39420862132316
2.44140625,0.637215896419113,2.72578592305351,2.24333270430768,3.32502948425236
2.5390625,0.635206989508538,2.69697530812776,2.23756890177935,3.24971818317896
2.63671875,0.635202661171535,2.66852360866564,2.23692594954485,3.18498786858927
