"r","obs","mmean","lo","hi"
0,0,0,0,0
0.09765625,0,0.114814535610565,0,0.408566733288726
0.1953125,0,0.306512737142979,0,0.679019951947063
0.29296875,0,0.513746383211648,0,0.797220486979281
0.390625,0.606795798235506,0.694284258849415,0.378968787518993,1.08049388321554
0.48828125,0.606795798235506,0.879283484237671,0.555533412000712,1.17538698935139
0.5859375,0.606795798235506,1.04840717838455,0.621105236502995,1.39278998870292
0.68359375,0.606795798235506,1.22860437026849,0.809599728005102,1.54410790417787
0.78125,0.606795798235506,1.4062525534127,0.997631312456106,1.69734977378971
0.87890625,0.606795798235506,1.58378818580934,1.19044108914265,2.0049924622896
0.9765625,0.700667434908806,1.76020106197434,1.25059703407851,2.22309546486914
1.07421875,0.78337000703825,1.93700943883648,1.4108637323235,2.35732741537232
1.171875,0.85813884745566,2.10937461634301,1.5773936062322,2.55446702825948
1.26953125,0.990893389161201,2.28384162077027,1.89904071564495,2.70726813471301
1.3671875,0.990893389161201,2.4529572046706,1.98393213210343,2.84012320069091
1.46484375,1.1078524883098,2.6229836841657,2.23411708557296,2.98953151225534
1.5625,1.16192549220664,2.78987279106655,2.41993430784684,3.07787231150776
1.66015625,1.16192549220664,2.95771142739111,2.56052060686438,3.27387749324589
1.7578125,1.31082874174924,3.11944785734314,2.75632313476883,3.51002686900542
1.85546875,1.4611727357602,3.28372050110852,2.88919283317039,3.75044095406493
1.953125,1.53154236026102,3.44361862414748,3.04995593646143,3.98064974197447
2.05078125,1.57110016067064,3.6123560964822,3.23200584725871,4.11413801194616
2.1484375,1.60968612730704,3.76767704878095,3.37517508677515,4.24441173483386
2.24609375,1.68420807966699,3.92491964640713,3.53877942912228,4.42994627456091
2.34375,1.79018378843398,4.08281104361792,3.6631698906858,4.63838486632319
2.44140625,1.82414136238321,4.24074119449509,3.83403973443056,4.80095377863514
2.5390625,2.01591021413896,4.39425787095712,3.96212861385522,4.93146317221442
2.63671875,2.10525417283188,4.54888387305985,4.06871086769576,5.08389778375818
2.734375,2.13420449952939,4.70054142178485,4.24886389326764,5.26611098986944
2.83203125,2.16276733824905,4.84957838871405,4.40721651914559,5.41030725480505
2.9296875,2.24627774332409,4.99782152107688,4.5441784706749,5.54204886735485
3.02734375,2.30026762080502,5.14945038225963,4.65275836906272,5.68850015931879
3.125,2.42999993729447,5.29742052080027,4.79618667764585,5.84979466633068
3.22265625,2.50461590588405,5.4456323819002,4.95707969431758,6.02642889389106
3.3203125,2.6706248016345,5.59281245244237,5.08718437771363,6.18228326749609
3.41796875,2.71619297147242,5.73552327152441,5.25204347240802,6.26963694039152
3.515625,2.80510946535387,5.87659638861832,5.41338029354434,6.39435398251458
3.61328125,2.89129278471751,6.0184182978652,5.55466766656027,6.59032633738607
3.7109375,2.9749804741042,6.15873411374912,5.69792960992687,6.7185340069544
3.80859375,3.01595362173759,6.30011804896485,5.83110317478605,6.90606870421438
