"r","obs","mmean","lo","hi"
0,0,0,0,0
0.09765625,0,0.256208080198665,0,0.667586490841255
0.1953125,0,0.631091355695422,0,0.913999873976825
0.29296875,0,0.973237534177143,0.570475679584428,1.36814518073402
0.390625,0.606795798235506,1.2943288803392,0.931582883766213,1.66227695678945
0.48828125,0.606795798235506,1.63467865371354,1.30755980161185,2.00275947252377
0.5859375,0.606795798235506,1.95996942055171,1.50930349449945,2.33769377955847
0.68359375,0.606795798235506,2.27825811919425,1.83029933203973,2.65803821329665
0.78125,0.606795798235506,2.59251987671837,2.18418872295379,3.05841845118635
0.87890625,0.606795798235506,2.89352867792933,2.42366806938239,3.47075073022352
0.9765625,0.700667434908806,3.20644114889038,2.7374963628945,3.74837775769022
1.07421875,0.78337000703825,3.49420215270771,3.0583965637359,4.14688375445823
1.171875,0.85813884745566,3.78156170023272,3.38191798922857,4.44638860755962
1.26953125,0.990893389161201,4.05719861680685,3.60504760869905,4.74027400881611
1.3671875,0.990893389161201,4.3304132499146,3.85674973714286,5.03873644126073
1.46484375,1.1078524883098,4.60265366137672,4.12857332349779,5.36269680295165
1.5625,1.16192549220664,4.85469285520692,4.36039057670846,5.61583021091703
1.66015625,1.16192549220664,5.1059266272329,4.55453368489327,5.87879631414508
1.7578125,1.31082874174924,5.33846144373738,4.77438537408249,6.06857416958022
1.85546875,1.4611727357602,5.56809994153593,4.99460095465508,6.28097097023122
1.953125,1.53154236026102,5.78628244939496,5.18510095095543,6.51315696139879
2.05078125,1.57110016067064,5.99902566612734,5.40214973787119,6.7189624272375
2.1484375,1.60968612730704,6.19767723980712,5.5813559028693,6.91276762900109
2.24609375,1.68420807966699,6.39396305943223,5.77968428107248,7.07289928063067
2.34375,1.79018378843398,6.58153166977116,6.01075744254491,7.31205331860618
2.44140625,1.82414136238321,6.75848965811545,6.15935051876969,7.48940546929876
2.5390625,2.01591021413896,6.93489215906888,6.33034434640495,7.66337436904895
2.63671875,2.10525417283188,7.09488574602719,6.47398472463275,7.83542326852339
2.734375,2.13420449952939,7.25343525612395,6.62307655486608,7.99701754015935
2.83203125,2.16276733824905,7.40782168445651,6.74260913282988,8.18872298693179
2.9296875,2.24627774332409,7.54968796395842,6.86335305950983,8.31676145655995
3.02734375,2.30026762080502,7.68156213218496,6.96427710080911,8.45251394882305
3.125,2.42999993729447,7.80808176363818,7.09256858013081,8.56827496345391
3.22265625,2.50461590588405,7.93175579639254,7.18008754877849,8.70966419620295
3.3203125,2.6706248016345,8.04354863901098,7.27957250269729,8.79711314938068
3.41796875,2.71619297147242,8.15255850113857,7.36743913883842,8.90870590168604
3.515625,2.80510946535387,8.25359713995818,7.48011881909328,8.97819381025017
3.61328125,2.89129278471751,8.34915978409553,7.54081960862657,9.07293735975101
3.7109375,2.9749804741042,8.44139491157385,7.64919171955537,9.15369296205488
3.80859375,3.01595362173759,8.53209047893912,7.74728880826835,9.26328933363364
3.90625,3.05637754141122,8.61794739978845,7.82562017718751,9.40729445213332
4.00390625,3.15517230013989,8.69736271078989,7.90348228658708,9.48733679127571
4.1015625,3.19383463421963,8.77724347993787,7.96626623101031,9.59780616960166
4.19921875,3.32561508082923,8.85442157342501,8.01776496097015,9.70557843196161
4.296875,3.41663346494264,8.92860296614677,8.09902692332886,9.79309209385959
4.39453125,3.49440425700389,8.99990765095044,8.16995009216042,9.87230716228967
4.4921875,3.58248087228796,9.06611830340553,8.21991704975695,9.92842927078119
4.58984375,3.63350661772693,9.13209397823816,8.27489468093515,10.0267125532143
4.6875,3.76238546905046,9.19667099204556,8.33382579577709,10.1031653817669
4.78515625,3.85900851245946,9.26100198723666,8.42402472968796,10.1632605712203
4.8828125,3.93771701207206,9.3248294041766,8.48319689747339,10.2598729206349
4.98046875,4.08170381952067,9.38910496662584,8.5363805131029,10.3120617742603
5.078125,4.30131512145657,9.45003328516785,8.58478937921188,10.361177494233
5.17578125,4.41397570029042,9.51093107340873,8.64343750418741,10.4145784443368
5.2734375,4.51024583341665,9.56939035288745,8.69250814113818,10.4761914797807
5.37109375,4.6631508434057,9.62661825356088,8.73947095483502,10.5613779323033
5.46875,4.80573060395555,9.68838156774409,8.79498382586914,10.6438090950954
