"mod","weight"
"CSR",1.47636
"CSR",2.79617
"CSR",0.10156
"CSR",1.13702
"CSR",1.42133
"CSR",0.48188
"CSR",4.56467
"CSR",1.36716
"CSR",3.92156
"CSR",3.06944
"CSR",3.23528
"CSR",4.78309
"CSR",1.9445
"CSR",0.41795
"CSR",3.3458
"CSR",4.66168
"CSR",1.49312
"CSR",0.59251
"CSR",0.64545
"CSR",2.77748
"CSR",0.75574
"CSR",2.86026
"CSR",0.17586
"CSR",0.55522
"CSR",0.40505
"CSR",4.5047
"CSR",3.40682
"CSR",0.36819
"CSR",2.5072
"CSR",5.34694
"CSR",0.01724
"CSR",8.87726
"CSR",5.29343
"CSR",2.57085
"CSR",0.68902
"CSR",1.85731
"CSR",1.32868
"CSR",3.19181
"CSR",1.30184
"CSR",2.27075
"CSR",4.21599
"CSR",2.84752
"CSR",1.8496
"CSR",2.09
"CSR",4.89917
"CSR",0.21405
"CSR",0.11087
"CSR",3.37603
"CSR",1.12362
"CSR",2.97087
"CSR",6.19042
"CSR",2.13469
"CSR",2.3069
"CSR",2.07942
"CSR",1.84915
"CSR",0.08428
"CSR",3.2944
"CSR",1.46869
"CSR",3.79691
"CSR",1.93995
"CSR",5.89982
"CSR",5.47889
"CSR",2.33296
"CSR",6.26681
"CSR",0.86002
"CSR",4.026
"CSR",1.56704
"CSR",3.94311
"CSR",2.48677
"CSR",0.3927
"CSR",0.46357
"CSR",2.45162
"CSR",3.81941
"CSR",1.20403
"CSR",1.8462
"CSR",9.77326
"CSR",3.2707
"CSR",1.7053
"CSR",1.12949
"CSR",4.48256
"CSR",0.24072
"CSR",0.18555
"CSR",0.33138
"CSR",0.55994
"CSR",0.62123
"CSR",5.50146
"CSR",2.89763
"CSR",2.36697
"CSR",5.15839
"CSR",2.69884
"CSR",1.94183
"CSR",0.20364
"CSR",1.69274
"CSR",3.17844
"CSR",2.02927
"CSR",4.33444
"CSR",0.45909
"CSR",2.56634
"CSR",2.08906
"CSR",2.2677
"CSR",4.0605
"CSR",7.00239
"CSR",1.23797
"CSR",1.3844
"CSR",1.90487
"CSR",5.49071
"CSR",3.69585
"CSR",2.82068
"CSR",0.41485
"CSR",5.03243
"CSR",0.518
"CSR",1.77586
"CSR",3.97297
"CSR",3.02445
"CSR",0.98434
"CSR",5.4222
"CSR",5.7556
"CSR",1.19014
"CSR",2.91437
"CSR",8.62836
"CSR",3.35993
"CSR",6.94703
"CSR",1.2888
"CSR",0.86548
"CSR",0.77253
"CSR",1.41884
"CSR",0.68639
"CSR",0.51973
"CSR",5.02749
"CSR",3.58487
"CSR",1.88786
"CSR",1.77946
"CSR",0.27351
"CSR",2.61726
"CSR",4.5182
"CSR",0.36466
"CSR",0.99407
"CSR",3.62073
"CSR",0.86077
"CSR",0.775
"CSR",0.03806
"CSR",6.38561
"CSR",3.89335
"CSR",0.6004
"CSR",1.35807
"CSR",3.64843
"CSR",1.74047
"CSR",3.00447
"CSR",1.58061
"CSR",2.30168
"CSR",2.75729
"CSR",3.37399
"CSR",2.6731
"CSR",3.17492
"CSR",2.3783
"CSR",0.70456
"CSR",6.99544
"CSR",1.15158
"CSR",0.44942
"CSR",0.46296
"CSR",3.50009
