"net","mod","num","nnodes","nedges","mdegree","clusteringC","edensity","aplength","diameter","cb","cd"
"CS","Mat",13,288,1426,9.90277777777778,0.711558784676354,0.034504452187379,9.84551500512854,27,0.309901417068135,0.0351819589624468
"CS","Mat",14,273,1328,9.72893772893773,0.721313718782073,0.0357681534152122,8.24737516005122,23,0.239135566698936,0.0451141995259642
"CS","Mat",15,281,1654,11.7722419928826,0.734962567765253,0.042043721403152,8.98088108573891,24,0.358915014537326,0.0508134214539908
"CS","Mat",16,277,1312,9.47292418772563,0.712402813772677,0.0343221890859624,5.64440113394755,16,0.11480469913771,0.0453879558415738
"CS","Mat",17,334,1808,10.8263473053892,0.702434586726737,0.0325115534696373,9.95018935618896,29,0.438893646841926,0.0485695276114438
"CS","Mat",18,276,1672,12.1159420289855,0.751454277514931,0.0440579710144928,4.67705664674068,12,0.040725921457441,0.0723056653491436
"CS","Mat",19,321,2112,13.1588785046729,0.694655406937202,0.0411214953271028,6.01311655670751,18,0.0793871954146966,0.0620035046728972
"CS","Mat",20,277,1597,11.5306859205776,0.724032160617186,0.0417778475383247,5.55859404590561,17,0.112206617472308,0.0488018626066028
"CS","CSR",1,302,1223,8.09933774834437,0.600367384426982,0.0269080988317089,7.9065587115795,20,0.147776648601405,0.0262480473476931
"CS","CSR",2,270,1045,7.74074074074074,0.638702597244239,0.0287759878837946,8.95252650419937,22,0.185342635779823,0.026986093900592
"CS","CSR",3,267,1011,7.57303370786517,0.616727462219906,0.0284700515333277,8.64275858184788,21,0.267441758730061,0.0279209259102813
"CS","CSR",4,243,808,6.65020576131687,0.570252469813392,0.0274801890963507,7.674423429342,19,0.120641843445923,0.0303710505730708
"CS","CSR",5,288,1172,8.13888888888889,0.611556982343499,0.028358497870693,8.87301587301587,21,0.188926738104101,0.0413279132791328
"CS","CSR",6,238,776,6.52100840336134,0.579396585946804,0.0275148033897103,8.49274899833351,21,0.203677400918717,0.0273375172853952
"CS","CSR",7,275,1049,7.62909090909091,0.615252994377903,0.027843397478434,8.41571333775713,21,0.165725774649831,0.0269011280690113
"CS","CSR",8,292,1211,8.29452054794521,0.595926800472255,0.0285035070376124,8.43489725857008,20,0.243840487977764,0.0299157369486419
"CS","CSR",9,257,898,6.98832684824903,0.594380752462458,0.0272981517509728,9.13348127431907,25,0.178356041583784,0.0273893482490272
"CS","CSR",10,292,1132,7.75342465753425,0.613195782791067,0.0266440709880902,8.5021889563621,22,0.137072811828834,0.0317751729981641
"CS","CSR",11,287,1132,7.88850174216028,0.607565011820331,0.0275821739236373,8.09176189663995,19,0.148359066438342,0.0213688750274116
"CS","CSR",12,292,1117,7.65068493150685,0.601808905380334,0.0262910135103328,7.75293037706539,20,0.165826719144858,0.0252553782422445
"CS","CSR",13,254,859,6.76377952755906,0.589155370177268,0.0267343064330397,7.85960598798668,20,0.142219630873457,0.0246490927764464
"CS","CSR",14,310,1268,8.18064516129032,0.611545056201181,0.026474579810001,8.27295124752062,20,0.130934856529837,0.0253053554650799
"CS","CSR",15,293,1162,7.93174061433447,0.592829705505762,0.0271634952545701,7.97204170367946,19,0.159056564510232,0.0310556828276217
"CS","CSR",16,284,1166,8.2112676056338,0.620054144106622,0.0290150798785647,8.23892139929365,18,0.205232962518726,0.0275220225949336
"CS","CSR",17,273,1013,7.42124542124542,0.616800622245268,0.0272839905192846,8.41879444085327,20,0.188201713012989,0.0241865977160095
"CS","CSR",18,293,1185,8.08873720136519,0.60174156741067,0.0277011547991958,8.19902753751929,19,0.20012928656514,0.0373673383514891
"CS","CSR",19,239,803,6.71966527196653,0.589700996677741,0.0282338876973383,8.40494356738511,23,0.131665331932197,0.0347913223866953
"CS","CSR",20,270,951,7.04444444444444,0.608612860700161,0.0261875258157786,8.60567663456665,21,0.161980919065057,0.0332920280875671
"CS","Str",1,174,381,4.37931034482759,0.520427404148334,0.0253139326290612,9.33708209012317,25,0.296219774396304,0.0324895355790313
"CS","Str",2,176,439,4.98863636363636,0.533613445378151,0.0285064935064935,8.26125801570718,21,0.184869182463004,0.0229220779220779
"CS","Str",3,190,452,4.7578947368421,0.543851053405194,0.0251740462266778,8.25526401036605,21,0.118423167612591,0.0277360066833751
