"","nnodes","nedges","mdegree","clusteringC","edensity","aplength","diameter","cb","cd"
"CS",271,1146,8.45756457564576,0.594204231830727,0.0313243132431324,7.54598163508753,19,0.160577576085693,0.0464534645346453
"CL",268,640,4.77611940298507,0.320625,0.0178880876516295,5.92844764939348,16,0.35902363959811,0.109452736318408
"WCL",268,1280,37.4450217910448,0.320625,0.0178880876516295,16.5359669598637,212.00582,0.35902363959811,0.109862671660424
